location_index,location,i,j,x,y,weighted_ess,local_selector_points,pointwise_success_rate,weighted_success_rate,local_success_rate,full_success_rate,raw_report_path
51,"(5,1)",5,1,11.11111111111111,55.55555555555556,35.79582620521979,36,0.96,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_051_i05_j01.json
52,"(5,2)",5,2,22.22222222222222,55.55555555555556,17.709261412546894,18,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_052_i05_j02.json
53,"(5,3)",5,3,33.33333333333333,55.55555555555556,28.896970975971346,29,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_053_i05_j03.json
54,"(5,4)",5,4,44.44444444444444,55.55555555555556,1.4807376517305582,1,0.97,0.99,0.97,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_054_i05_j04.json
55,"(5,5)",5,5,55.55555555555556,55.55555555555556,16.987970999810432,17,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_055_i05_j05.json
56,"(5,6)",5,6,66.66666666666666,55.55555555555556,16.97680537274625,17,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_056_i05_j06.json
57,"(5,7)",5,7,77.77777777777777,55.55555555555556,5.289906991165265,5,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_057_i05_j07.json
58,"(5,8)",5,8,88.88888888888889,55.55555555555556,15.912274713427918,16,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_058_i05_j08.json
59,"(5,9)",5,9,100.0,55.55555555555556,6.499945307688282,6,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_059_i05_j09.json
60,"(6,0)",6,0,0.0,66.66666666666666,20.55738303552293,21,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_060_i06_j00.json
61,"(6,1)",6,1,11.11111111111111,66.66666666666666,31.0928621491179,31,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_061_i06_j01.json
62,"(6,2)",6,2,22.22222222222222,66.66666666666666,35.321344998567064,35,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_062_i06_j02.json
63,"(6,3)",6,3,33.33333333333333,66.66666666666666,16.963412034350835,17,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_063_i06_j03.json
64,"(6,4)",6,4,44.44444444444444,66.66666666666666,14.755871585429109,15,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_064_i06_j04.json
65,"(6,5)",6,5,55.55555555555556,66.66666666666666,15.876704506572258,16,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_065_i06_j05.json
66,"(6,6)",6,6,66.66666666666666,66.66666666666666,14.695082861252711,15,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_066_i06_j06.json
67,"(6,7)",6,7,77.77777777777777,66.66666666666666,17.11690867053843,17,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_067_i06_j07.json
68,"(6,8)",6,8,88.88888888888889,66.66666666666666,11.433856006067902,11,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_068_i06_j08.json
69,"(6,9)",6,9,100.0,66.66666666666666,10.931928272434543,11,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_069_i06_j09.json
70,"(7,0)",7,0,0.0,77.77777777777777,27.535773984875373,28,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_070_i07_j00.json
71,"(7,1)",7,1,11.11111111111111,77.77777777777777,23.5169652236495,24,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_071_i07_j01.json
72,"(7,2)",7,2,22.22222222222222,77.77777777777777,35.75154682624852,36,0.94,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_072_i07_j02.json
73,"(7,3)",7,3,33.33333333333333,77.77777777777777,12.800009803632832,13,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_073_i07_j03.json
74,"(7,4)",7,4,44.44444444444444,77.77777777777777,17.249945709831003,17,1.0,0.99,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_074_i07_j04.json
75,"(7,5)",7,5,55.55555555555556,77.77777777777777,25.831565913552705,26,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_075_i07_j05.json
76,"(7,6)",7,6,66.66666666666666,77.77777777777777,26.399554874739103,26,0.98,0.99,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_076_i07_j06.json
77,"(7,7)",7,7,77.77777777777777,77.77777777777777,29.419357988141645,29,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_077_i07_j07.json
78,"(7,8)",7,8,88.88888888888889,77.77777777777777,12.2759457614939,12,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_078_i07_j08.json
79,"(7,9)",7,9,100.0,77.77777777777777,9.897723083795823,10,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_079_i07_j09.json
80,"(8,0)",8,0,0.0,88.88888888888889,20.74647195842317,21,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_080_i08_j00.json
81,"(8,1)",8,1,11.11111111111111,88.88888888888889,9.757073156112673,10,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_081_i08_j01.json
82,"(8,2)",8,2,22.22222222222222,88.88888888888889,19.765307764286963,20,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_082_i08_j02.json
83,"(8,3)",8,3,33.33333333333333,88.88888888888889,21.177487416073802,21,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_083_i08_j03.json
84,"(8,4)",8,4,44.44444444444444,88.88888888888889,28.722927040780053,29,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_084_i08_j04.json
85,"(8,5)",8,5,55.55555555555556,88.88888888888889,17.099807753258453,17,0.97,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_085_i08_j05.json
86,"(8,6)",8,6,66.66666666666666,88.88888888888889,30.46429846205095,30,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_086_i08_j06.json
87,"(8,7)",8,7,77.77777777777777,88.88888888888889,14.675055990832352,15,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_087_i08_j07.json
88,"(8,8)",8,8,88.88888888888889,88.88888888888889,13.782109333875036,14,1.0,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_088_i08_j08.json
89,"(8,9)",8,9,100.0,88.88888888888889,7.266108377367315,7,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_089_i08_j09.json
90,"(9,0)",9,0,0.0,100.0,21.502112902236178,22,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_090_i09_j00.json
91,"(9,1)",9,1,11.11111111111111,100.0,6.743084647337997,7,0.98,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_091_i09_j01.json
92,"(9,2)",9,2,22.22222222222222,100.0,8.178732990499684,8,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_092_i09_j02.json
93,"(9,3)",9,3,33.33333333333333,100.0,28.913880972150835,29,0.99,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_093_i09_j03.json
94,"(9,4)",9,4,44.44444444444444,100.0,22.14254010304715,22,0.96,1.0,1.0,1.0,C:\github\EVT_Univariate\EVT_Classes\SIM\_output\sim_results_all\blob\bootstrap_k100\t_030\runs_100\demo_weights_k100_5c6fff0c30fb1252\raw\loc_094_i09_j04.json
