location_index,location,i,j,x,y,pointwise,weighted,local,full
68,"(6,8)",6,8,88.88888888888889,66.66666666666666,20.915228647383714,14.081166575976525,15.635116480442429,16.158315211464753
69,"(6,9)",6,9,100.0,66.66666666666666,26.436541183681335,7.329728286598337,22.253352461200013,23.276135449773115
70,"(7,0)",7,0,0.0,77.77777777777777,26.453104002917147,10.613956050594224,12.93939117949232,11.95142105466057
71,"(7,1)",7,1,11.11111111111111,77.77777777777777,23.44768529569351,11.976843235480645,12.056921872642569,12.681811775684762
72,"(7,2)",7,2,22.22222222222222,77.77777777777777,25.401319148457517,16.835275902254747,21.80587965727929,17.675431336969933
73,"(7,3)",7,3,33.33333333333333,77.77777777777777,21.033018840372684,17.45283558794629,10.833147069063967,18.459883132846745
74,"(7,4)",7,4,44.44444444444444,77.77777777777777,19.50977131605723,12.142424351687097,24.96578936836686,42.131541830942794
75,"(7,5)",7,5,55.55555555555556,77.77777777777777,21.90499857907005,31.627058315554276,28.54526029201191,39.2023641737722
76,"(7,6)",7,6,66.66666666666666,77.77777777777777,17.359083775234005,27.05771769088653,39.5363803780815,45.27931329481464
77,"(7,7)",7,7,77.77777777777777,77.77777777777777,22.748457448488317,9.57262045278077,6.70783778837248,6.320053923588661
78,"(7,8)",7,8,88.88888888888889,77.77777777777777,30.09473008029015,11.6475170822747,6.517551944414233,11.466884216938869
79,"(7,9)",7,9,100.0,77.77777777777777,26.070640423809504,20.549307240131032,29.38430515532854,41.29373979795472
80,"(8,0)",8,0,0.0,88.88888888888889,26.1518508565266,11.667152065206317,9.553461689235434,9.551578861668606
81,"(8,1)",8,1,11.11111111111111,88.88888888888889,26.247568269043345,16.384664898930076,6.729218802980965,1.9859005267534078
82,"(8,2)",8,2,22.22222222222222,88.88888888888889,19.286649901997208,4.614305279585186,6.824385561848044,7.726923932639531
83,"(8,3)",8,3,33.33333333333333,88.88888888888889,20.400455361584587,4.094830718934651,4.478375502799678,9.301336972478952
84,"(8,4)",8,4,44.44444444444444,88.88888888888889,23.568383549538755,17.128192160689213,15.62380097123442,20.904961318017914
85,"(8,5)",8,5,55.55555555555556,88.88888888888889,21.43545539777437,4.227501831111132,6.1272173362360265,4.193276276592227
86,"(8,6)",8,6,66.66666666666666,88.88888888888889,26.955728438334614,8.460920501168683,7.023731283812136,5.752762580392303
87,"(8,7)",8,7,77.77777777777777,88.88888888888889,25.773972920601096,10.637906523218131,7.686965144790172,11.104451114432267
88,"(8,8)",8,8,88.88888888888889,88.88888888888889,26.59628370382269,11.435980302982449,5.991635884673729,10.150683985500038
89,"(8,9)",8,9,100.0,88.88888888888889,26.290313415088395,11.219785633169845,10.176893718423964,15.294097837570893
90,"(9,0)",9,0,0.0,100.0,25.59897401826226,16.377456641991326,13.666366062349342,14.215784139205475
91,"(9,1)",9,1,11.11111111111111,100.0,20.08760554002928,6.700331147367457,11.240172336200022,7.5384445368330155
92,"(9,2)",9,2,22.22222222222222,100.0,23.330362635128182,21.968841109495823,10.844509094056201,7.310733961349611
93,"(9,3)",9,3,33.33333333333333,100.0,27.511593230987366,4.289702733140713,6.442075195235553,1.9987603311889715
94,"(9,4)",9,4,44.44444444444444,100.0,24.26910037094434,15.630844540711912,20.92946114103069,16.28174970941507
95,"(9,5)",9,5,55.55555555555556,100.0,27.93398652206651,14.825480240808783,11.608187162091403,14.12673326550878
96,"(9,6)",9,6,66.66666666666666,100.0,30.839967405082792,5.139770482318041,7.88787158508332,7.973379005039524
97,"(9,7)",9,7,77.77777777777777,100.0,27.122036276083747,17.35875361553674,15.391415089307184,10.985683177702231
98,"(9,8)",9,8,88.88888888888889,100.0,25.5984599219815,15.303268637475758,21.657194841896843,5.243187845018081
99,"(9,9)",9,9,100.0,100.0,27.968281680443088,13.325676195343492,14.485827105287585,31.351061069779348
